s	n_liftover_r2_snvs_with_mismatchrefallele	n_liftover_r2_homoplasmic_insertions_rel_to_grch38	n_liftover_r2_homoplasmic_deletions_rel_to_grch38	n_liftover_r2_heteroplasmic_indels_first_site_swapped_to_grch38	n_liftover_r2_heteroplasmic_deletions_with_internal_sites_swapped_to_grch38	n_liftover_r2_het_insertions_sharing_lhs_with_hom_ref_deletion	n_liftover_r2_heteroplasmic_deletions_sharing_lhs_with_homoplasmic_insertion_spanning_rhs	n_liftover_r2_heteroplasmic_deletions_spanning_only_lhs_of_homoplasmic_insertion	n_liftover_r2_sites_with_fancy_flip	n_liftover_r2_success_sites_flipped	n_liftover_r2_left_alignment_of_indels	n_liftover_r2_round2_failed_sites	n_liftover_r2_round2_fixed_sites	n_liftover_r2_round2_success_injected	n_liftover_r2_snvs_complex_liftover	n_liftover_r2_ref_insertion_new_haplos	n_liftover_r2_deletions_with_first_allele_and_internal_switches	n_liftover_r2_hom_dele_with_indels_reverted	n_liftover_r2_het_dele_span_insert_repaired_with_complex_rework	n_liftover_r2_het_deletions_span_insertions	n_liftover_r2_new_dupes_left_shift_failed	n_liftover_r2_fixed_indelStraddlesMultipleIntevals	n_liftover_r1_round1_failed_sites	n_liftover_changed_selfref_and_passed	n_liftover_r1_pass	n_liftover_r2_pass	mean_coverage	median_coverage	major_haplogroup	contamination	nuc_variants_pass	n_reads_unpaired_dropped	nuc_variants_dropped	mtdna_consensus_overlaps	nuc_consensus_overlaps
4077548_23193_0_0	12	1	0	0	0	0	0	0	2	1	0	0	13	0	1	0	0	0	0	0	0	0	13	0	98	111	878	889	H1c13	0	510	25230	0	0	0
4005018_23193_0_0	33	1	0	0	0	0	0	0	1	1	0	0	34	0	0	0	0	0	0	0	0	0	34	0	62	96	1245	1253	T2b	0	463	28847	0	0	0
4066589_23193_0_0	17	2	0	0	0	0	0	0	1	2	0	0	19	0	0	1	0	0	0	0	0	0	19	0	173	192	850	864	H6a1b3a	0	444	23099	0	0	0
4067232_23193_0_0	15	1	0	0	0	0	0	0	1	1	0	0	16	0	0	0	0	0	0	0	0	0	16	0	100	116	549	563	H1z	0	558	40262	2	0	2
4069549_23193_0_0	41	2	1	0	0	0	0	0	1	2	0	0	44	0	0	1	0	0	0	0	0	0	44	0	174	218	711	730	T2+16189	0	471	25824	0	0	0
4094725_23193_0_0	15	1	0	0	0	0	0	0	1	1	0	0	16	0	0	0	0	0	0	0	0	0	16	0	85	101	1105	1123	H11a2a	0	409	36324	0	0	0
4083956_23193_0_0	6	1	0	0	0	0	0	0	1	1	0	0	7	0	0	0	0	0	0	0	0	0	7	0	203	210	685	693	H2a2b	0	509	26116	0	0	0
4047774_23193_0_0	13	3	0	0	0	0	0	0	2	1	0	0	16	1	0	1	0	0	0	0	0	0	15	0	173	188	798	809	H5	0	464	24725	0	0	0
4082617_23193_0_0	39	2	0	0	0	0	0	0	1	1	0	0	41	0	0	1	0	0	0	0	0	0	41	0	64	105	1045	1065	M1a3b	0	459	45412	0	0	0
4055144_23193_0_0	37	4	0	1	0	0	0	0	3	1	1	0	42	2	0	2	0	0	0	0	0	0	40	0	76	116	1185	1198	T1a1	0	503	27735	0	0	0
4043634_23193_0_0	15	1	0	0	0	0	0	0	2	1	0	0	16	0	1	0	0	0	0	0	0	0	16	0	127	143	1059	1073	H3b1a	0	515	30289	1	0	0
4049072_23193_0_0	31	2	0	0	0	0	0	0	2	0	0	0	33	0	1	1	0	0	0	0	0	0	33	0	96	129	1022	1049	X2c1	0	418	39276	1	0	0
4033784_23193_0_0	38	1	0	0	1	0	0	0	2	1	0	0	40	0	1	0	0	0	0	0	0	0	40	0	142	182	808	823	I2c	0	496	25884	0	0	0
4017761_23193_0_0	32	0	0	0	0	0	0	0	2	0	0	0	32	0	2	0	0	0	0	0	0	0	32	0	179	211	601	616	U5b1b1+@16192	0	531	23864	0	0	0
4055469_23193_0_0	6	1	0	0	1	0	0	0	0	0	1	0	8	0	0	0	0	0	0	0	0	0	8	0	78	86	1083	1100	H2a2b	0	508	36525	0	0	0
4091167_23193_0_0	32	1	0	0	1	0	0	0	1	1	1	0	34	0	0	0	0	0	0	0	0	0	34	0	204	238	958	966	K1a10a	0	412	21066	0	0	0
4094116_23193_0_0	36	3	0	0	0	0	0	0	1	1	0	0	39	0	0	1	0	0	0	0	0	0	39	0	126	165	701	713	U2e1a1	0	470	34472	0	0	0
4000848_23193_0_0	27	2	1	0	0	0	0	0	1	1	0	0	30	0	0	1	0	0	0	0	0	0	30	0	129	159	827	847	R11'B6	0	473	24667	0	0	0
