s	n_liftover_r2_snvs_with_mismatchrefallele	n_liftover_r2_homoplasmic_insertions_rel_to_grch38	n_liftover_r2_homoplasmic_deletions_rel_to_grch38	n_liftover_r2_heteroplasmic_indels_first_site_swapped_to_grch38	n_liftover_r2_heteroplasmic_deletions_with_internal_sites_swapped_to_grch38	n_liftover_r2_het_insertions_sharing_lhs_with_hom_ref_deletion	n_liftover_r2_heteroplasmic_deletions_sharing_lhs_with_homoplasmic_insertion_spanning_rhs	n_liftover_r2_heteroplasmic_deletions_spanning_only_lhs_of_homoplasmic_insertion	n_liftover_r2_sites_with_fancy_flip	n_liftover_r2_success_sites_flipped	n_liftover_r2_left_alignment_of_indels	n_liftover_r2_round2_failed_sites	n_liftover_r2_round2_fixed_sites	n_liftover_r2_round2_success_injected	n_liftover_r2_snvs_complex_liftover	n_liftover_r2_ref_insertion_new_haplos	n_liftover_r2_deletions_with_first_allele_and_internal_switches	n_liftover_r2_hom_dele_with_indels_reverted	n_liftover_r2_het_dele_span_insert_repaired_with_complex_rework	n_liftover_r2_het_deletions_span_insertions	n_liftover_r2_new_dupes_left_shift_failed	n_liftover_r2_fixed_indelStraddlesMultipleIntevals	n_liftover_r1_round1_failed_sites	n_liftover_changed_selfref_and_passed	n_liftover_r1_pass	n_liftover_r2_pass	mean_coverage	median_coverage	major_haplogroup	contamination	nuc_variants_pass	n_reads_unpaired_dropped	nuc_variants_dropped	mtdna_consensus_overlaps	nuc_consensus_overlaps
5785747_23193_0_0	31	1	0	0	0	0	0	0	2	1	0	0	32	0	1	0	0	0	0	0	0	0	32	0	99	131	698	710	U8a1a3	0	540	32670	0	0	0
5779592_23193_0_0	21	3	0	0	0	0	0	0	1	2	0	0	24	0	0	1	0	0	0	0	0	0	24	0	49	73	967	979	V1a	0	497	25481	1	0	0
5708093_23193_0_0	30	1	0	0	0	0	0	0	1	1	0	0	31	0	0	0	0	0	0	0	0	0	31	0	122	153	982	987	J1c2a	0	417	35899	0	0	0
5730959_23193_0_0	34	0	0	0	0	0	0	0	0	0	0	0	34	0	0	0	0	0	0	0	0	0	34	0	102	136	936	957	I2c	0	556	38687	0	0	0
5785475_23193_0_0	32	1	0	0	0	0	0	0	2	1	0	0	33	0	1	0	0	0	0	0	0	0	33	0	196	229	662	671	U5a1a1d	0	543	22997	0	0	0
5763328_23193_0_0	32	1	0	0	0	0	0	0	1	1	0	0	33	0	0	0	0	0	0	0	0	0	33	0	57	90	1563	1592	J1c5	0	527	30072	0	0	0
5730683_23193_0_0	33	1	0	0	0	0	0	0	3	1	0	0	34	0	2	0	0	0	0	0	0	0	34	0	80	114	916	927	K1a9	0	425	27446	0	0	0
5711411_23193_0_0	37	2	0	0	0	0	0	0	3	1	0	0	39	0	2	1	0	0	0	0	0	0	39	0	140	179	820	829	J1b1a1b	0	405	26811	0	0	0
5714127_23193_0_0	14	1	0	0	0	0	0	0	2	1	0	0	15	0	1	0	0	0	0	0	0	0	15	0	75	90	891	905	H1g1	0	567	31604	1	0	2
5721553_23193_0_0	41	2	0	0	0	0	0	0	3	2	0	0	43	0	2	1	0	0	0	0	0	0	43	0	144	187	767	779	J1b1a1+146	0	439	28053	0	0	0
5778808_23193_0_0	11	1	0	0	0	0	0	0	1	1	0	0	12	0	0	0	0	0	0	0	0	0	12	0	113	125	969	981	H10f	0	468	29645	1	0	0
5786827_23193_0_0	39	1	0	0	0	0	0	0	1	1	0	0	40	0	0	0	0	0	0	0	0	0	40	0	56	96	1488	1508	T2a1a	0	496	28618	0	0	0
5766453_23193_0_0	30	1	0	0	0	0	0	0	1	2	0	0	31	0	0	0	0	0	0	0	0	0	31	0	101	132	892	909	X2b+226	0	534	32700	0	0	0
5730844_23193_0_0	38	1	0	0	0	0	0	0	1	2	0	0	39	0	0	0	0	0	0	0	0	0	39	0	134	173	1151	1170	K1a4a1b1	0	492	27778	0	0	0
5778146_23193_0_0	12	2	0	0	0	0	0	0	1	1	0	0	14	0	0	1	0	0	0	0	0	0	14	0	114	128	732	746	H1g2	0	466	32421	1	0	0
5793931_23193_0_0	17	2	1	0	0	0	0	0	2	1	0	0	20	0	1	1	0	0	0	0	0	0	20	0	175	195	712	718	H4a1a3a	0	374	24078	0	0	0
5774077_23193_0_0	32	1	0	0	0	0	0	0	1	1	0	0	33	0	0	0	0	0	0	0	0	0	33	0	77	110	1078	1096	I2	0	485	24507	0	0	0
5762950_23193_0_0	15	1	0	0	0	0	0	0	1	1	0	0	16	0	0	0	0	0	0	0	0	0	16	0	92	108	1078	1098	H5b1	0	549	41954	0	0	0
