s	n_liftover_r2_snvs_with_mismatchrefallele	n_liftover_r2_homoplasmic_insertions_rel_to_grch38	n_liftover_r2_homoplasmic_deletions_rel_to_grch38	n_liftover_r2_heteroplasmic_indels_first_site_swapped_to_grch38	n_liftover_r2_heteroplasmic_deletions_with_internal_sites_swapped_to_grch38	n_liftover_r2_het_insertions_sharing_lhs_with_hom_ref_deletion	n_liftover_r2_heteroplasmic_deletions_sharing_lhs_with_homoplasmic_insertion_spanning_rhs	n_liftover_r2_heteroplasmic_deletions_spanning_only_lhs_of_homoplasmic_insertion	n_liftover_r2_sites_with_fancy_flip	n_liftover_r2_success_sites_flipped	n_liftover_r2_left_alignment_of_indels	n_liftover_r2_round2_failed_sites	n_liftover_r2_round2_fixed_sites	n_liftover_r2_round2_success_injected	n_liftover_r2_snvs_complex_liftover	n_liftover_r2_ref_insertion_new_haplos	n_liftover_r2_deletions_with_first_allele_and_internal_switches	n_liftover_r2_hom_dele_with_indels_reverted	n_liftover_r2_het_dele_span_insert_repaired_with_complex_rework	n_liftover_r2_het_deletions_span_insertions	n_liftover_r2_new_dupes_left_shift_failed	n_liftover_r2_fixed_indelStraddlesMultipleIntevals	n_liftover_r1_round1_failed_sites	n_liftover_changed_selfref_and_passed	n_liftover_r1_pass	n_liftover_r2_pass	mean_coverage	median_coverage	major_haplogroup	contamination	nuc_variants_pass	n_reads_unpaired_dropped	nuc_variants_dropped	mtdna_consensus_overlaps	nuc_consensus_overlaps
3047634_23193_0_0	30	1	0	0	0	0	0	0	1	1	0	0	31	0	0	0	0	0	0	0	0	0	31	0	112	143	930	944	U5a1a1g	0	506	37465	0	0	0
3053044_23193_0_0	18	1	0	0	0	0	0	0	1	1	0	0	19	0	0	0	0	0	0	0	0	0	19	0	162	181	1093	1108	V	0	455	40947	0	0	0
3031004_23193_0_0	14	1	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	15	0	88	103	1315	1329	H13a1a1	0	478	41471	0	0	0
3061457_23193_0_0	39	1	0	0	1	0	0	0	3	1	0	0	41	0	2	0	0	1	0	0	0	0	41	0	103	144	1204	1230	N1a1a1a2	0	443	40505	0	0	0
3065993_23193_0_0	36	2	0	0	0	0	0	0	2	1	0	0	38	0	1	1	0	0	0	0	0	0	38	0	127	165	851	861	K1a4a1f	0	494	34470	1	0	2
3092377_23193_0_0	39	2	0	0	0	0	0	0	1	1	0	0	41	0	0	0	0	0	0	0	0	0	41	0	137	178	958	974	K1b1a1	0	504	38844	0	0	0
3025414_23193_0_0	31	1	1	0	1	0	0	0	1	0	1	0	34	0	1	0	0	0	0	0	0	0	34	0	82	116	1335	1351	U5a1a2b1	0	467	41684	0	0	0
3007609_23193_0_0	26	1	0	0	0	0	0	0	1	1	0	0	27	0	0	0	0	0	0	0	0	0	27	0	88	115	1330	1347	U5a1b1	0	600	41358	0	0	0
3086423_23193_0_0	30	2	0	0	0	0	0	0	1	1	0	0	32	0	0	0	0	0	0	0	0	0	32	0	91	123	996	1012	U4a1b1	0	548	44472	0	0	0
3066391_23193_0_0	32	0	0	0	0	0	0	0	1	0	0	0	32	0	1	0	0	0	0	0	0	0	32	0	112	144	841	847	U6a7a1b	0	469	36619	0	0	0
3006230_23193_0_0	37	1	0	0	1	0	0	0	1	1	1	0	39	0	0	0	0	0	0	0	0	0	39	0	51	90	1408	1423	T2a1b1a1	0	431	41108	1	0	0
3031346_23193_0_0	11	0	1	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	12	0	68	80	1298	1315	H5a1d	0	551	37799	0	0	0
3098874_23193_0_0	13	1	1	0	0	0	0	0	1	0	0	0	15	0	1	0	0	0	0	0	0	0	15	0	121	136	1010	1027	H5a1p	0	416	37519	0	0	0
3050781_23193_0_0	11	2	1	0	0	0	0	0	1	1	0	0	14	0	0	1	0	0	0	0	0	0	14	0	37	51	1411	1435	H1e2	0	485	38946	0	0	0
3092151_23193_0_0	37	1	0	0	0	0	0	0	2	2	0	0	38	0	1	0	0	0	0	0	0	0	38	0	49	87	1487	1509	J1b1a1	0	473	41205	0	0	0
3022540_23193_0_0	15	1	0	0	0	0	0	0	1	2	0	0	16	0	0	0	0	0	0	0	0	0	16	0	121	137	1010	1024	H5b1	0	471	45055	0	0	0
3038141_23193_0_0	34	2	0	0	0	0	0	0	2	0	0	0	36	0	2	0	0	0	0	0	0	0	36	0	71	107	1290	1311	I3	0	639	38141	0	0	0
3083389_23193_0_0	36	1	0	0	1	0	0	0	1	1	1	0	38	0	0	0	0	0	0	0	0	0	38	0	75	113	1129	1143	T2b24a	0	428	37706	0	0	0
