s	n_liftover_r2_snvs_with_mismatchrefallele	n_liftover_r2_homoplasmic_insertions_rel_to_grch38	n_liftover_r2_homoplasmic_deletions_rel_to_grch38	n_liftover_r2_heteroplasmic_indels_first_site_swapped_to_grch38	n_liftover_r2_heteroplasmic_deletions_with_internal_sites_swapped_to_grch38	n_liftover_r2_het_insertions_sharing_lhs_with_hom_ref_deletion	n_liftover_r2_heteroplasmic_deletions_sharing_lhs_with_homoplasmic_insertion_spanning_rhs	n_liftover_r2_heteroplasmic_deletions_spanning_only_lhs_of_homoplasmic_insertion	n_liftover_r2_sites_with_fancy_flip	n_liftover_r2_success_sites_flipped	n_liftover_r2_left_alignment_of_indels	n_liftover_r2_round2_failed_sites	n_liftover_r2_round2_fixed_sites	n_liftover_r2_round2_success_injected	n_liftover_r2_snvs_complex_liftover	n_liftover_r2_ref_insertion_new_haplos	n_liftover_r2_deletions_with_first_allele_and_internal_switches	n_liftover_r2_hom_dele_with_indels_reverted	n_liftover_r2_het_dele_span_insert_repaired_with_complex_rework	n_liftover_r2_het_deletions_span_insertions	n_liftover_r2_new_dupes_left_shift_failed	n_liftover_r2_fixed_indelStraddlesMultipleIntevals	n_liftover_r1_round1_failed_sites	n_liftover_changed_selfref_and_passed	n_liftover_r1_pass	n_liftover_r2_pass	mean_coverage	median_coverage	major_haplogroup	contamination	nuc_variants_pass	n_reads_unpaired_dropped	nuc_variants_dropped	mtdna_consensus_overlaps	nuc_consensus_overlaps
1698028_23193_0_0	17	2	0	0	0	0	0	0	3	2	0	0	19	0	2	1	0	0	0	0	0	0	19	0	139	158	768	778	H11a+152	0	521	20172	0	0	0
1696272_23193_0_0	35	2	0	0	0	0	0	0	2	1	0	0	37	0	1	0	0	0	0	0	0	0	37	0	87	124	1075	1084	K1a3a1b	0	389	27940	0	0	0
1671419_23193_0_0	19	0	0	0	0	0	0	0	1	0	0	0	19	0	1	0	0	0	0	0	0	0	19	0	159	178	818	827	U2a1a	0.124	503	24710	0	0	0
1653168_23193_0_0	34	1	0	0	1	0	0	0	2	1	1	0	36	0	1	0	0	0	0	0	0	0	36	0	182	218	681	689	T2b21	0	459	21987	0	0	0
1616206_23193_0_0	11	1	0	0	0	0	0	0	1	1	0	0	12	0	0	0	0	0	0	0	0	0	12	0	145	157	1146	1167	H7	0	411	27767	0	0	0
1649186_23193_0_0	29	1	0	0	0	0	0	0	1	1	0	0	30	0	0	0	0	0	0	0	0	0	30	0	110	140	1066	1082	U5a1b1a2	0	479	28586	0	0	0
1670816_23193_0_0	8	3	0	0	0	0	0	0	1	2	0	0	11	0	0	2	0	0	0	0	0	0	11	0	172	183	771	786	H101	0	465	32697	0	0	0
1633452_23193_0_0	36	1	0	0	0	0	0	0	0	0	0	0	37	0	0	0	0	0	0	0	0	0	37	0	73	110	1603	1625	W1h	0	438	36789	0	0	0
1684793_23193_0_0	35	1	2	0	0	0	0	0	2	1	0	0	38	0	1	0	0	0	0	0	0	0	38	0	149	187	943	955	K1c2	0	467	27535	0	0	0
1694333_23193_0_0	35	1	0	0	1	0	0	0	2	1	1	0	37	0	1	0	0	0	0	0	0	0	37	0	75	112	1064	1075	T2b24	0	545	26649	0	0	0
1655552_23193_0_0	35	1	1	0	0	0	0	0	2	2	0	0	37	0	1	0	0	0	0	0	0	0	37	0	38	75	2542	2576	K1c2	0	501	30009	0	0	0
1673892_23193_0_0	14	1	0	0	0	0	0	0	1	1	0	0	15	0	0	0	0	0	0	0	0	0	15	0	159	174	877	889	H1c3a	0	497	27805	0	0	0
1686890_23193_0_0	34	0	1	0	0	0	0	0	0	0	0	0	35	0	0	0	0	0	0	0	0	0	35	0	154	189	809	822	K1c2	0	467	29804	0	0	0
1618578_23193_0_0	11	1	0	0	0	0	0	0	1	1	0	0	12	0	0	0	0	0	0	0	0	0	12	0	136	148	811	822	H7h	0	495	28753	0	0	0
1644199_23193_0_0	13	2	0	0	0	0	0	0	1	1	0	0	15	0	0	1	0	0	0	0	0	0	15	0	83	98	1163	1176	H31a	0	593	31293	0	0	0
1659306_23193_0_0	14	1	0	0	0	0	0	0	2	1	0	0	15	0	1	0	0	0	0	0	0	0	15	0	154	169	754	764	HV+16311	0	411	29910	0	0	0
1637231_23193_0_0	34	2	0	0	0	0	0	0	2	1	0	0	36	0	1	1	0	0	0	0	0	0	36	0	86	122	1155	1165	T2e	0	403	38194	0	0	0
1649697_23193_0_0	29	1	0	0	0	0	0	0	1	1	0	0	30	0	0	0	0	0	0	0	0	0	30	0	95	125	1041	1049	U5a1a1d1	0	444	31753	1	0	0
