s	n_liftover_r2_snvs_with_mismatchrefallele	n_liftover_r2_homoplasmic_insertions_rel_to_grch38	n_liftover_r2_homoplasmic_deletions_rel_to_grch38	n_liftover_r2_heteroplasmic_indels_first_site_swapped_to_grch38	n_liftover_r2_heteroplasmic_deletions_with_internal_sites_swapped_to_grch38	n_liftover_r2_het_insertions_sharing_lhs_with_hom_ref_deletion	n_liftover_r2_heteroplasmic_deletions_sharing_lhs_with_homoplasmic_insertion_spanning_rhs	n_liftover_r2_heteroplasmic_deletions_spanning_only_lhs_of_homoplasmic_insertion	n_liftover_r2_sites_with_fancy_flip	n_liftover_r2_success_sites_flipped	n_liftover_r2_left_alignment_of_indels	n_liftover_r2_round2_failed_sites	n_liftover_r2_round2_fixed_sites	n_liftover_r2_round2_success_injected	n_liftover_r2_snvs_complex_liftover	n_liftover_r2_ref_insertion_new_haplos	n_liftover_r2_deletions_with_first_allele_and_internal_switches	n_liftover_r2_hom_dele_with_indels_reverted	n_liftover_r2_het_dele_span_insert_repaired_with_complex_rework	n_liftover_r2_het_deletions_span_insertions	n_liftover_r2_new_dupes_left_shift_failed	n_liftover_r2_fixed_indelStraddlesMultipleIntevals	n_liftover_r1_round1_failed_sites	n_liftover_changed_selfref_and_passed	n_liftover_r1_pass	n_liftover_r2_pass	mean_coverage	median_coverage	major_haplogroup	contamination	nuc_variants_pass	n_reads_unpaired_dropped	nuc_variants_dropped	mtdna_consensus_overlaps	nuc_consensus_overlaps
2309084_23193_0_0	11	2	0	0	0	0	0	0	1	2	0	0	13	0	0	1	0	0	0	0	0	0	13	0	137	150	879	891	H18b	0	455	22905	0	0	0
2354304_23193_0_0	36	2	1	0	1	0	0	0	1	0	0	0	40	0	1	0	0	0	0	0	0	0	40	0	202	242	569	575	W5	0	491	29308	0	0	0
2358984_23193_0_0	11	1	0	0	0	0	0	0	1	2	0	0	12	0	0	0	0	0	0	0	0	0	12	0	147	159	1195	1209	H10e	0	434	28968	0	0	0
2331275_23193_0_0	30	2	0	0	0	0	0	0	1	1	0	0	32	0	0	1	0	0	0	0	0	0	32	0	147	179	788	800	U5b2a2b1	0	453	30999	0	0	0
2348691_23193_0_0	13	1	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	14	0	80	94	1126	1139	H1+16311	0	500	34238	0	0	0
2331634_23193_0_0	12	3	0	0	0	0	0	0	1	2	0	0	15	0	0	2	0	0	0	0	0	0	15	0	175	190	546	554	H3c1	0	480	28652	0	0	0
2308211_23193_0_0	17	2	1	0	0	0	0	0	2	3	0	0	20	0	0	1	0	0	0	0	0	0	20	0	148	168	700	709	H4a1	0	470	27938	0	0	0
2326620_23193_0_0	34	2	0	0	0	0	0	0	1	1	0	0	36	0	0	1	0	0	0	0	0	0	36	0	134	170	824	838	J1c2a3	0	376	30836	0	0	0
2390856_23193_0_0	31	1	0	0	0	0	0	0	1	1	0	0	32	0	0	0	0	0	0	0	0	0	32	0	70	102	1056	1068	J2b1a3	0	593	30982	0	0	0
2316874_23193_0_0	31	4	1	0	1	0	0	0	3	2	1	0	37	0	1	2	0	0	0	0	0	0	37	0	109	146	821	831	R5a2b	0	477	26846	0	0	0
1626918_23193_0_0	27	1	1	0	0	0	0	0	2	1	0	0	29	0	1	0	0	0	0	0	0	0	29	0	174	203	1107	1123	U5b1e1	0	463	25082	0	0	0
1622159_23193_0_0	33	1	1	0	0	0	0	0	1	1	0	0	35	0	0	0	0	0	0	0	0	0	35	0	294	329	861	870	K1c1	0	479	29934	0	0	0
1612474_23193_0_0	36	1	1	0	0	0	0	0	2	1	0	0	38	0	1	0	0	0	0	0	0	0	38	0	158	196	1011	1025	T2+16189	0	487	32855	0	0	0
1621895_23193_0_0	33	2	0	0	0	0	0	0	2	1	0	0	35	0	1	0	0	0	0	0	0	0	35	0	160	195	649	658	K1a15	0	469	28134	1	0	0
1674754_23193_0_0	34	1	0	0	0	0	0	0	1	0	0	0	35	0	1	0	0	0	0	0	0	0	35	0	74	109	963	979	K1a4a1e	0	387	32641	0	0	0
1630027_23193_0_0	35	1	1	0	0	0	0	0	2	1	0	0	37	0	1	0	0	0	0	0	0	0	37	0	124	161	945	949	T2e	0	449	37167	0	0	0
1605455_23193_0_0	13	1	0	0	0	0	0	0	1	2	0	0	14	0	0	0	0	0	0	0	0	0	14	0	132	146	514	520	H1a1	0	413	30923	0	0	0
1604160_23193_0_0	36	1	0	0	0	0	0	0	0	0	0	0	37	0	0	0	0	0	0	0	0	0	37	0	58	95	1312	1327	I2	0	484	34069	0	0	0
