s	n_liftover_r2_snvs_with_mismatchrefallele	n_liftover_r2_homoplasmic_insertions_rel_to_grch38	n_liftover_r2_homoplasmic_deletions_rel_to_grch38	n_liftover_r2_heteroplasmic_indels_first_site_swapped_to_grch38	n_liftover_r2_heteroplasmic_deletions_with_internal_sites_swapped_to_grch38	n_liftover_r2_het_insertions_sharing_lhs_with_hom_ref_deletion	n_liftover_r2_heteroplasmic_deletions_sharing_lhs_with_homoplasmic_insertion_spanning_rhs	n_liftover_r2_heteroplasmic_deletions_spanning_only_lhs_of_homoplasmic_insertion	n_liftover_r2_sites_with_fancy_flip	n_liftover_r2_success_sites_flipped	n_liftover_r2_left_alignment_of_indels	n_liftover_r2_round2_failed_sites	n_liftover_r2_round2_fixed_sites	n_liftover_r2_round2_success_injected	n_liftover_r2_snvs_complex_liftover	n_liftover_r2_ref_insertion_new_haplos	n_liftover_r2_deletions_with_first_allele_and_internal_switches	n_liftover_r2_hom_dele_with_indels_reverted	n_liftover_r2_het_dele_span_insert_repaired_with_complex_rework	n_liftover_r2_het_deletions_span_insertions	n_liftover_r2_new_dupes_left_shift_failed	n_liftover_r2_fixed_indelStraddlesMultipleIntevals	n_liftover_r1_round1_failed_sites	n_liftover_changed_selfref_and_passed	n_liftover_r1_pass	n_liftover_r2_pass	mean_coverage	median_coverage	major_haplogroup	contamination	nuc_variants_pass	n_reads_unpaired_dropped	nuc_variants_dropped	mtdna_consensus_overlaps	nuc_consensus_overlaps
2310205_23193_0_0	38	1	0	0	1	0	0	0	3	2	1	0	40	0	2	0	0	0	0	0	0	0	40	0	145	185	995	1007	T2b24a	0	494	28956	0	0	0
2356151_23193_0_0	34	1	0	0	0	0	0	0	1	1	0	0	35	0	0	0	0	0	0	0	0	0	35	0	79	114	877	888	J1c2c1	0	590	33216	0	0	0
2394152_23193_0_0	31	2	0	0	0	0	0	0	1	0	0	0	33	0	0	1	0	0	0	0	0	0	33	0	272	305	622	627	J2a1	0	468	26493	0	0	0
2324014_23193_0_0	40	2	0	0	0	0	0	0	1	1	0	0	42	0	0	0	0	0	0	0	0	0	42	0	85	127	1081	1088	K1a1b2a1a	0	609	29559	0	0	0
2350720_23193_0_0	28	1	0	0	0	0	0	0	1	1	0	0	29	0	0	0	0	0	0	0	0	0	29	0	98	127	1441	1465	U5a1a1	0	566	25816	0	0	0
2324696_23193_0_0	11	1	0	0	0	0	0	0	1	1	0	0	12	0	0	0	0	0	0	0	0	0	12	0	96	108	1095	1107	H1bb	0	437	25528	0	0	0
2303183_23193_0_0	33	4	0	0	0	0	0	0	2	2	0	0	37	1	0	1	0	0	0	0	0	0	36	0	45	81	1557	1585	J1c12b	0	493	32559	0	0	0
2359814_23193_0_0	17	1	0	0	0	0	0	0	2	1	0	0	18	0	1	0	0	0	0	0	0	0	18	0	206	224	755	766	H1c3	0	461	31282	0	0	0
2347888_23193_0_0	17	1	1	0	0	0	0	0	1	2	0	0	19	0	0	0	0	0	0	0	0	0	19	0	86	105	1211	1234	H4a1a1a	0	482	34390	0	0	0
2310428_23193_0_0	13	1	0	0	0	0	0	0	1	1	0	0	14	0	0	0	0	0	0	0	0	0	14	0	35	49	1825	1850	H1a1	0	386	36225	0	0	0
2304131_23193_0_0	9	2	0	0	0	0	0	0	1	0	0	0	11	0	0	1	0	0	0	0	0	0	11	0	66	77	1322	1342	H3+152	0	521	37455	0	0	0
2346362_23193_0_0	34	2	1	0	0	0	0	0	1	1	0	0	37	0	0	1	0	0	0	0	0	0	37	0	114	151	918	933	K1c2	0	428	31541	0	0	0
2390131_23193_0_0	14	1	1	0	0	0	0	0	1	1	0	0	16	0	0	0	0	0	0	0	0	0	16	0	132	148	811	821	H4a1c	0	507	25269	0	0	0
2304521_23193_0_0	33	1	0	0	0	0	0	0	2	1	0	0	34	0	1	0	0	0	0	0	0	0	34	0	81	115	1184	1200	K1a+195	0	437	26836	0	0	0
2342940_23193_0_0	29	2	0	0	0	0	0	0	1	1	0	0	31	0	0	0	0	0	0	0	0	0	31	0	150	181	943	954	U5a1c2a1	0	376	32201	0	0	0
2355099_23193_0_0	11	1	1	0	1	0	0	0	1	1	0	0	14	0	0	0	0	1	0	0	0	0	14	0	85	99	961	968	H5a1	0	485	26588	0	0	0
2366238_23193_0_0	13	1	0	0	0	0	0	0	1	1	0	0	14	0	0	0	0	0	0	0	0	0	14	0	235	249	590	598	H31a	0	421	24712	0	0	0
2316912_23193_0_0	13	1	0	0	0	0	0	0	1	1	0	0	14	0	0	0	0	0	0	0	0	0	14	0	93	107	731	741	H1c3	0	479	25313	0	0	0
