s	n_liftover_r2_snvs_with_mismatchrefallele	n_liftover_r2_homoplasmic_insertions_rel_to_grch38	n_liftover_r2_homoplasmic_deletions_rel_to_grch38	n_liftover_r2_heteroplasmic_indels_first_site_swapped_to_grch38	n_liftover_r2_heteroplasmic_deletions_with_internal_sites_swapped_to_grch38	n_liftover_r2_het_insertions_sharing_lhs_with_hom_ref_deletion	n_liftover_r2_heteroplasmic_deletions_sharing_lhs_with_homoplasmic_insertion_spanning_rhs	n_liftover_r2_heteroplasmic_deletions_spanning_only_lhs_of_homoplasmic_insertion	n_liftover_r2_sites_with_fancy_flip	n_liftover_r2_success_sites_flipped	n_liftover_r2_left_alignment_of_indels	n_liftover_r2_round2_failed_sites	n_liftover_r2_round2_fixed_sites	n_liftover_r2_round2_success_injected	n_liftover_r2_snvs_complex_liftover	n_liftover_r2_ref_insertion_new_haplos	n_liftover_r2_deletions_with_first_allele_and_internal_switches	n_liftover_r2_hom_dele_with_indels_reverted	n_liftover_r2_het_dele_span_insert_repaired_with_complex_rework	n_liftover_r2_het_deletions_span_insertions	n_liftover_r2_new_dupes_left_shift_failed	n_liftover_r2_fixed_indelStraddlesMultipleIntevals	n_liftover_r1_round1_failed_sites	n_liftover_changed_selfref_and_passed	n_liftover_r1_pass	n_liftover_r2_pass	mean_coverage	median_coverage	major_haplogroup	contamination	nuc_variants_pass	n_reads_unpaired_dropped	nuc_variants_dropped	mtdna_consensus_overlaps	nuc_consensus_overlaps
2109972_23193_0_0	34	0	1	0	0	0	0	0	0	0	0	0	35	0	0	0	0	0	0	0	0	0	35	0	125	160	721	733	K1c1i	0	469	32840	0	0	0
2171366_23193_0_0	15	1	0	0	0	0	0	0	1	1	0	0	16	0	0	0	0	0	0	0	0	0	16	0	53	69	1541	1561	H13a1a1	0	457	28316	0	0	0
2183321_23193_0_0	35	0	1	0	1	0	0	0	2	0	0	0	37	0	2	0	0	0	0	0	0	0	37	0	94	131	800	809	K1c2	0	511	28949	1	0	0
2151154_23193_0_0	10	1	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	11	0	40	51	1747	1787	H1+16189	0	481	30653	0	0	0
2110324_23193_0_0	13	2	0	0	0	0	0	0	1	2	0	0	15	0	0	1	0	0	0	0	0	0	15	0	113	128	1008	1027	H5b1	0	483	33887	0	0	0
2100983_23193_0_0	14	2	0	0	0	0	0	0	1	1	0	0	16	0	0	1	0	0	0	0	0	0	16	0	90	106	1065	1081	H6a2	0	377	31807	0	0	0
2183996_23193_0_0	38	1	1	0	0	0	0	0	1	1	0	0	40	0	0	0	0	0	0	0	0	0	40	0	81	121	1031	1037	J2a1a1a2	0	409	32285	0	0	0
2101128_23193_0_0	41	1	0	0	0	0	0	0	0	0	0	0	42	0	0	0	0	0	0	0	0	0	42	0	55	97	1454	1471	J2a1a1a2	0	474	36317	0	0	0
2188180_23193_0_0	33	2	1	0	0	0	0	0	1	2	0	0	36	0	0	1	0	0	0	0	0	0	36	0	138	174	542	551	K2a	0	479	27473	0	0	0
2109501_23193_0_0	35	3	0	0	0	0	0	0	1	2	0	0	38	1	0	2	0	0	0	0	0	0	37	0	139	176	872	879	T2b4a	0	488	30471	0	0	0
2148017_23193_0_0	12	2	0	0	0	0	0	0	1	0	0	0	14	0	0	1	0	0	0	0	0	0	14	0	100	114	744	752	H1	0	506	26184	0	0	0
2106579_23193_0_0	39	1	0	0	0	0	0	0	1	1	0	0	40	0	0	0	0	0	0	0	0	0	40	0	89	129	1008	1028	U2e2a1d	0	510	39016	0	0	0
2112644_23193_0_0	56	1	0	0	0	0	0	0	1	1	0	0	57	0	0	0	0	0	0	0	0	0	57	0	104	161	1270	1288	L2a1c2a	0	665	33533	0	0	0
2178991_23193_0_0	8	1	0	0	0	0	0	0	1	1	0	0	9	0	0	0	0	0	0	0	0	0	9	0	121	130	855	866	H7	0	612	29176	1	0	0
2197256_23193_0_0	2	1	0	0	0	0	0	0	1	1	0	0	3	0	0	0	0	0	0	0	0	0	3	0	105	108	790	801	U6d2	0	394	27965	0	0	0
2184777_23193_0_0	13	1	0	0	0	0	0	0	1	2	0	0	14	0	0	0	0	0	0	0	0	0	14	0	75	89	1373	1391	H5k	0	418	27973	0	0	0
2187185_23193_0_0	11	1	0	0	0	0	0	0	1	1	0	0	12	0	0	0	0	0	0	0	0	0	12	0	167	179	1193	1214	H1b1	0	474	28232	0	0	0
2100239_23193_0_0	13	1	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	14	0	120	134	903	922	H1aa1	0	495	30686	0	0	0
