s	n_liftover_r2_snvs_with_mismatchrefallele	n_liftover_r2_homoplasmic_insertions_rel_to_grch38	n_liftover_r2_homoplasmic_deletions_rel_to_grch38	n_liftover_r2_heteroplasmic_indels_first_site_swapped_to_grch38	n_liftover_r2_heteroplasmic_deletions_with_internal_sites_swapped_to_grch38	n_liftover_r2_het_insertions_sharing_lhs_with_hom_ref_deletion	n_liftover_r2_heteroplasmic_deletions_sharing_lhs_with_homoplasmic_insertion_spanning_rhs	n_liftover_r2_heteroplasmic_deletions_spanning_only_lhs_of_homoplasmic_insertion	n_liftover_r2_sites_with_fancy_flip	n_liftover_r2_success_sites_flipped	n_liftover_r2_left_alignment_of_indels	n_liftover_r2_round2_failed_sites	n_liftover_r2_round2_fixed_sites	n_liftover_r2_round2_success_injected	n_liftover_r2_snvs_complex_liftover	n_liftover_r2_ref_insertion_new_haplos	n_liftover_r2_deletions_with_first_allele_and_internal_switches	n_liftover_r2_hom_dele_with_indels_reverted	n_liftover_r2_het_dele_span_insert_repaired_with_complex_rework	n_liftover_r2_het_deletions_span_insertions	n_liftover_r2_new_dupes_left_shift_failed	n_liftover_r2_fixed_indelStraddlesMultipleIntevals	n_liftover_r1_round1_failed_sites	n_liftover_changed_selfref_and_passed	n_liftover_r1_pass	n_liftover_r2_pass	mean_coverage	median_coverage	major_haplogroup	contamination	nuc_variants_pass	n_reads_unpaired_dropped	nuc_variants_dropped	mtdna_consensus_overlaps	nuc_consensus_overlaps
5741190_23193_0_0	11	1	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	12	0	72	84	874	882	H1r	0	421	38128	0	0	0
5702042_23193_0_0	11	0	1	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	12	0	70	82	1342	1362	H5a1b	0	433	37675	0	0	0
5775294_23193_0_0	28	1	0	0	0	0	0	0	1	1	0	0	29	0	0	0	0	0	0	0	0	0	29	0	157	186	654	665	U5a1a2b	0	572	37389	0	0	0
5735604_23193_0_0	9	1	0	0	0	0	0	0	1	1	0	0	10	0	0	0	0	0	0	0	0	0	10	0	86	96	1239	1260	H3t	0	467	36983	0	0	0
5740152_23193_0_0	30	2	1	0	0	0	0	0	1	2	0	0	33	0	0	0	0	0	0	0	0	0	33	0	126	159	800	811	W	0	564	34226	0	0	0
5732503_23193_0_0	15	1	0	0	0	0	0	0	3	2	0	0	16	0	2	0	0	0	0	0	0	0	16	0	123	139	970	979	H11a	0	580	34807	0	0	0
5744838_23193_0_0	17	2	0	0	0	0	0	0	1	2	0	0	19	1	0	1	0	0	0	0	0	0	18	0	167	185	839	853	HV9a1a	0	446	35222	0	0	0
5769031_23193_0_0	35	0	0	0	0	0	0	0	1	0	0	0	35	0	1	0	0	0	0	0	0	0	35	0	154	189	876	894	J1b1a1	0	477	34428	0	0	0
5724132_23193_0_0	39	1	0	0	0	0	0	0	1	1	0	0	40	0	0	0	0	0	0	0	0	0	40	0	83	123	830	839	J2a1a1a2	0	496	35334	0	0	0
5771950_23193_0_0	17	1	1	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	19	0	119	138	790	799	H4a1a4b	0	451	33337	0	0	0
5788567_23193_0_0	34	1	0	0	0	0	0	0	2	1	0	0	35	0	1	0	0	0	0	0	0	0	35	0	111	146	1298	1313	U5b2b3b	0	434	30773	0	0	0
5703199_23193_0_0	30	1	1	0	0	0	0	0	1	1	0	0	32	0	0	0	0	0	0	0	0	0	32	0	40	72	1916	1937	J1c2e1	0	475	31790	0	0	0
5750361_23193_0_0	38	2	0	0	0	0	0	0	1	1	0	0	40	0	0	1	0	0	0	0	0	0	40	0	100	140	759	773	M52b	0	530	31661	0	0	0
5790693_23193_0_0	34	1	0	0	0	0	0	0	1	1	0	0	35	0	0	0	0	0	0	0	0	0	35	0	110	145	1132	1149	T2b13	0	532	38364	0	0	0
5755256_23193_0_0	39	0	0	0	0	0	0	0	0	0	0	0	39	0	0	0	0	0	0	0	0	0	39	0	61	100	1046	1060	W5a1a	0	435	30989	0	0	0
5783518_23193_0_0	14	1	0	0	0	0	0	0	1	1	0	0	15	0	0	0	0	0	0	0	0	0	15	0	66	81	1278	1295	H1q	0	397	34657	0	0	0
5704504_23193_0_0	11	2	0	0	0	0	0	0	1	1	0	0	13	0	0	1	0	0	0	0	0	0	13	0	105	118	974	986	H1e2	0	482	32511	0	0	0
5794868_23193_0_0	16	2	1	0	0	0	0	0	3	2	0	0	19	0	1	1	0	0	0	0	0	0	19	0	466	485	766	771	H4a1a1a	0	462	32793	0	0	0
