s	n_liftover_r2_snvs_with_mismatchrefallele	n_liftover_r2_homoplasmic_insertions_rel_to_grch38	n_liftover_r2_homoplasmic_deletions_rel_to_grch38	n_liftover_r2_heteroplasmic_indels_first_site_swapped_to_grch38	n_liftover_r2_heteroplasmic_deletions_with_internal_sites_swapped_to_grch38	n_liftover_r2_het_insertions_sharing_lhs_with_hom_ref_deletion	n_liftover_r2_heteroplasmic_deletions_sharing_lhs_with_homoplasmic_insertion_spanning_rhs	n_liftover_r2_heteroplasmic_deletions_spanning_only_lhs_of_homoplasmic_insertion	n_liftover_r2_sites_with_fancy_flip	n_liftover_r2_success_sites_flipped	n_liftover_r2_left_alignment_of_indels	n_liftover_r2_round2_failed_sites	n_liftover_r2_round2_fixed_sites	n_liftover_r2_round2_success_injected	n_liftover_r2_snvs_complex_liftover	n_liftover_r2_ref_insertion_new_haplos	n_liftover_r2_deletions_with_first_allele_and_internal_switches	n_liftover_r2_hom_dele_with_indels_reverted	n_liftover_r2_het_dele_span_insert_repaired_with_complex_rework	n_liftover_r2_het_deletions_span_insertions	n_liftover_r2_new_dupes_left_shift_failed	n_liftover_r2_fixed_indelStraddlesMultipleIntevals	n_liftover_r1_round1_failed_sites	n_liftover_changed_selfref_and_passed	n_liftover_r1_pass	n_liftover_r2_pass	mean_coverage	median_coverage	major_haplogroup	contamination	nuc_variants_pass	n_reads_unpaired_dropped	nuc_variants_dropped	mtdna_consensus_overlaps	nuc_consensus_overlaps
6017511_23193_0_0	9	1	0	0	0	0	0	0	1	1	0	0	10	0	0	0	0	0	0	0	0	0	10	0	71	81	1126	1146	H2b	0	499	30792	0	0	0
6016106_23193_0_0	35	0	0	0	1	0	0	0	0	0	1	0	36	0	0	0	0	0	0	0	0	0	36	0	195	231	847	861	T2b5a1	0	494	21772	0	0	0
6002748_23193_0_0	31	2	0	0	0	0	0	0	3	1	0	0	33	0	2	1	0	0	0	0	0	0	33	0	238	271	472	476	J1c3+189	0	459	33253	0	0	0
6023287_23193_0_0	15	2	0	0	0	0	0	0	1	2	0	0	17	0	0	1	0	0	0	0	0	0	17	0	100	117	937	958	H1b	0	457	23723	1	0	0
6002878_23193_0_0	14	1	1	0	0	0	0	0	1	1	0	0	16	0	0	0	0	0	0	0	0	0	16	0	110	126	1261	1282	HV24	0	406	30371	0	0	0
6003888_23193_0_0	34	1	0	0	0	0	0	0	1	1	0	0	35	0	0	0	0	0	0	0	0	0	35	0	91	126	906	919	U4b1b1a	0	510	31470	0	0	0
6018988_23193_0_0	11	0	0	0	0	0	0	0	1	0	0	0	11	0	1	0	0	0	0	0	0	0	11	0	246	257	588	593	H1c	0	439	23666	0	0	0
6012373_23193_0_0	13	1	0	0	0	0	0	0	1	1	0	0	14	0	0	0	0	0	0	0	0	0	14	0	81	95	921	942	H1b	0	457	38270	0	0	0
6021995_23193_0_0	32	2	2	0	0	0	0	0	2	2	0	0	36	0	0	1	0	0	0	0	0	0	36	0	119	155	985	996	M30c	0	499	27983	0	0	0
6003666_23193_0_0	35	1	0	0	0	0	0	0	1	0	0	0	36	0	1	0	0	0	0	0	0	0	36	0	156	192	882	893	W1	0	602	24675	0	0	0
6004091_23193_0_0	34	2	0	0	0	0	0	0	1	1	0	0	36	0	0	1	0	0	0	0	0	0	36	0	80	116	997	1007	U4b1a1a1	0	476	29501	0	0	0
6005450_23193_0_0	10	2	0	0	0	0	0	0	1	1	0	0	12	0	0	0	0	0	0	0	0	0	12	0	56	68	1119	1132	H1bb	0	505	36979	1	0	0
6013662_23193_0_0	27	1	1	0	0	0	0	0	1	1	0	0	29	0	0	0	0	0	0	0	0	0	29	0	39	68	1967	2000	X2i+@225	0	491	68120	1	0	2
6010282_23193_0_0	91	0	2	0	0	0	0	0	2	0	0	0	93	0	2	0	0	0	0	0	0	0	93	0	81	174	1319	1340	L1c1a2	0	494	44579	0	0	0
6003284_23193_0_0	14	1	1	0	0	0	0	0	1	1	0	0	16	0	0	0	0	0	0	0	0	0	16	0	61	77	1055	1066	H5	0	426	37540	0	0	0
6000360_23193_0_0	33	1	0	0	0	0	0	0	1	2	0	0	34	0	0	0	0	0	0	0	0	0	34	0	100	134	802	813	U4b1a1a1	0	437	38832	0	0	0
6005568_23193_0_0	12	1	0	0	0	0	0	0	1	1	0	0	13	0	0	0	0	0	0	0	0	0	13	0	79	92	985	998	H7c3	0	536	37002	0	0	0
6013922_23193_0_0	37	1	0	0	0	0	0	0	1	1	0	0	38	0	0	0	0	0	0	0	0	0	38	0	54	92	1418	1436	K1a1b1f	0	457	46622	0	0	0
