s	n_liftover_r2_snvs_with_mismatchrefallele	n_liftover_r2_homoplasmic_insertions_rel_to_grch38	n_liftover_r2_homoplasmic_deletions_rel_to_grch38	n_liftover_r2_heteroplasmic_indels_first_site_swapped_to_grch38	n_liftover_r2_heteroplasmic_deletions_with_internal_sites_swapped_to_grch38	n_liftover_r2_het_insertions_sharing_lhs_with_hom_ref_deletion	n_liftover_r2_heteroplasmic_deletions_sharing_lhs_with_homoplasmic_insertion_spanning_rhs	n_liftover_r2_heteroplasmic_deletions_spanning_only_lhs_of_homoplasmic_insertion	n_liftover_r2_sites_with_fancy_flip	n_liftover_r2_success_sites_flipped	n_liftover_r2_left_alignment_of_indels	n_liftover_r2_round2_failed_sites	n_liftover_r2_round2_fixed_sites	n_liftover_r2_round2_success_injected	n_liftover_r2_snvs_complex_liftover	n_liftover_r2_ref_insertion_new_haplos	n_liftover_r2_deletions_with_first_allele_and_internal_switches	n_liftover_r2_hom_dele_with_indels_reverted	n_liftover_r2_het_dele_span_insert_repaired_with_complex_rework	n_liftover_r2_het_deletions_span_insertions	n_liftover_r2_new_dupes_left_shift_failed	n_liftover_r2_fixed_indelStraddlesMultipleIntevals	n_liftover_r1_round1_failed_sites	n_liftover_changed_selfref_and_passed	n_liftover_r1_pass	n_liftover_r2_pass	mean_coverage	median_coverage	major_haplogroup	contamination	nuc_variants_pass	n_reads_unpaired_dropped	nuc_variants_dropped	mtdna_consensus_overlaps	nuc_consensus_overlaps
1738462_23193_0_0	30	1	0	0	0	0	0	0	2	1	0	0	31	0	1	0	0	0	0	0	0	0	31	0	108	139	1012	1030	U5b1b1a2	0	439	25599	0	0	0
1740852_23193_0_0	9	1	0	0	0	0	0	0	1	1	0	0	10	0	0	0	0	0	0	0	0	0	10	0	82	92	906	918	H1+16239	0	459	21394	0	0	0
1706006_23193_0_0	34	1	0	0	0	0	0	0	0	0	0	0	35	0	0	0	0	0	0	0	0	0	35	0	86	121	924	937	J2b1b1	0	487	31245	0	0	0
1720818_23193_0_0	39	2	1	1	0	0	0	0	3	1	0	0	43	0	1	1	0	0	0	0	0	0	43	0	90	133	882	895.5	T2f1a1	0	563	25991	0	0	0
1771227_23193_0_0	38	1	0	0	0	0	0	0	1	1	0	0	39	0	0	0	0	0	0	0	0	0	39	0	250	289	667	681	U2e2a1a	0	486	31394	0	0	0
1701437_23193_0_0	14	1	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	15	0	127	142	982	1002	V	0	408	29165	0	0	0
1782537_23193_0_0	26	3	1	0	0	0	0	0	2	0	0	0	30	0	1	1	0	0	0	0	0	0	30	0	130	160	806	820	B2	0	587	26799	1	0	0
1745138_23193_0_0	32	1	0	0	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	33	0	67	100	784	795	I2	0	397	22963	0	0	0
1794669_23193_0_0	37	2	0	0	0	0	0	0	2	2	0	0	39	0	1	0	0	0	0	0	0	0	39	0	89	128	893	902	K1	0	446	28090	0	0	0
1784329_23193_0_0	33	2	0	0	0	0	0	0	1	1	0	0	35	0	0	1	0	0	0	0	0	0	35	0	165	200	856	870	X2b+226	0	539	31971	0	0	0
1715084_23193_0_0	59	2	0	0	0	0	0	0	2	2	0	0	61	0	1	1	0	0	0	0	0	0	61	0	114	175	889	908	L2d+16129	0	525	34066	0	0	0
1717826_23193_0_0	9	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	9	0	89	98	910	916	H3	0	553	22529	0	0	0
1720066_23193_0_0	38	3	0	0	0	0	0	0	2	1	0	0	41	0	1	1	0	0	0	0	0	0	41	0	104	145	1100	1125	U2e1a1	0	503	32915	0	0	0
1747034_23193_0_0	12	1	0	0	0	0	0	0	1	1	0	0	13	0	0	0	0	0	0	0	0	0	13	0	105	118	1036	1047	H10e1a	0	421	28599	0	0	0
1701592_23193_0_0	11	1	0	0	0	0	0	0	1	1	0	0	12	0	0	0	0	0	0	0	0	0	12	0	111	123	874	890	H3+152	0	398	29204	0	0	0
1742240_23193_0_0	13	2	0	0	0	0	0	0	1	2	0	0	15	0	0	1	0	0	0	0	0	0	15	0	141	156	740	751	V	0	485	35946	0	0	0
1756458_23193_0_0	13	1	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	14	0	119	133	903	915	H7c1	0	544	27517	0	0	0
1797907_23193_0_0	33	2	0	0	0	0	0	0	3	1	0	0	35	0	2	1	0	0	0	0	0	0	35	0	195	230	627	634	J1c3b1a	0	466	34305	1	0	0
