s	n_liftover_r2_snvs_with_mismatchrefallele	n_liftover_r2_homoplasmic_insertions_rel_to_grch38	n_liftover_r2_homoplasmic_deletions_rel_to_grch38	n_liftover_r2_heteroplasmic_indels_first_site_swapped_to_grch38	n_liftover_r2_heteroplasmic_deletions_with_internal_sites_swapped_to_grch38	n_liftover_r2_het_insertions_sharing_lhs_with_hom_ref_deletion	n_liftover_r2_heteroplasmic_deletions_sharing_lhs_with_homoplasmic_insertion_spanning_rhs	n_liftover_r2_heteroplasmic_deletions_spanning_only_lhs_of_homoplasmic_insertion	n_liftover_r2_sites_with_fancy_flip	n_liftover_r2_success_sites_flipped	n_liftover_r2_left_alignment_of_indels	n_liftover_r2_round2_failed_sites	n_liftover_r2_round2_fixed_sites	n_liftover_r2_round2_success_injected	n_liftover_r2_snvs_complex_liftover	n_liftover_r2_ref_insertion_new_haplos	n_liftover_r2_deletions_with_first_allele_and_internal_switches	n_liftover_r2_hom_dele_with_indels_reverted	n_liftover_r2_het_dele_span_insert_repaired_with_complex_rework	n_liftover_r2_het_deletions_span_insertions	n_liftover_r2_new_dupes_left_shift_failed	n_liftover_r2_fixed_indelStraddlesMultipleIntevals	n_liftover_r1_round1_failed_sites	n_liftover_changed_selfref_and_passed	n_liftover_r1_pass	n_liftover_r2_pass	mean_coverage	median_coverage	major_haplogroup	contamination	nuc_variants_pass	n_reads_unpaired_dropped	nuc_variants_dropped	mtdna_consensus_overlaps	nuc_consensus_overlaps
3083670_23193_0_0	37	0	1	0	0	0	0	0	0	0	0	0	38	0	0	0	0	0	0	0	0	0	38	0	105	143	982	996	L3e3b	0	519	37011	0	0	0
3055534_23193_0_0	13	1	0	0	0	0	0	0	1	1	0	0	14	0	0	0	0	0	0	0	0	0	14	0	128	142	855	865	H1a1	0	442	35749	0	0	0
3028676_23193_0_0	11	1	0	0	0	0	0	0	1	1	0	0	12	0	0	0	0	0	0	0	0	0	12	0	32	44	1622	1647	H23	0	506	42118	0	0	0
3028787_23193_0_0	6	1	1	0	0	0	0	0	1	1	0	0	8	0	0	0	0	0	0	0	0	0	8	0	23	31	1821	1843	H2a2b	0	482	40003	0	0	0
3035724_23193_0_0	35	1	0	0	0	0	0	0	1	1	0	0	36	0	0	0	0	0	0	0	0	0	36	0	88	124	1251	1275	I2	0	518	32423	0	0	0
3090580_23193_0_0	31	1	0	0	0	0	0	0	1	1	0	0	32	0	0	0	0	0	0	0	0	0	32	0	81	113	1357	1373	J1c5f	0	507	44121	0	0	0
3046978_23193_0_0	12	1	0	0	0	0	0	0	1	1	0	0	13	0	0	0	0	0	0	0	0	0	13	0	56	69	1529	1556	V+@16298	0	510	41089	1	0	2
3024304_23193_0_0	27	0	1	0	0	0	0	0	1	0	0	0	28	0	1	0	0	0	0	0	0	0	28	0	95	123	947	957	J1c5	0	479	41570	0	0	0
3094586_23193_0_0	54	1	0	0	0	0	0	0	2	1	0	0	55	0	1	0	0	0	0	0	0	0	55	0	57	112	1483	1509	L2a1f1	0	428	44764	1	0	0
3001147_23193_0_0	37	1	1	0	0	0	0	0	1	1	0	0	39	0	0	0	0	0	0	0	0	0	39	0	69	108	1328	1361	T2b7a	0	509	42614	0	0	0
3065944_23193_0_0	29	2	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	31	0	48	79	1877	1911	U5a2a1d	0	453	37701	0	0	0
3019661_23193_0_0	32	2	0	0	0	0	0	0	1	1	0	0	34	0	0	1	0	0	0	0	0	0	34	0	109	143	1030	1045	K2a6	0	480	37954	0	0	0
3087623_23193_0_0	37	1	1	0	0	0	0	0	0	0	0	0	39	0	0	0	0	0	0	0	0	0	39	0	56	95	1429	1449	J2a1a1	0	473	41615	0	0	0
3072097_23193_0_0	37	2	0	1	0	0	0	0	3	1	1	0	40	0	1	1	0	0	0	0	0	0	40	0	169	209	817	831	T1a1a1	0	398	37656	1	0	0
3088386_23193_0_0	28	2	0	0	0	0	0	0	2	2	0	0	30	0	1	1	0	0	0	0	0	0	30	0	98	128	985	1006	U5a2c3a	0	539	40575	0	0	0
3047995_23193_0_0	37	0	0	0	0	0	0	0	1	0	0	0	37	0	1	0	0	0	0	0	0	0	37	0	73	110	786	795	K1a1b1	0	503	37299	0	0	0
3022370_23193_0_0	33	1	0	0	0	0	0	0	1	2	0	0	34	0	0	0	0	0	0	0	0	0	34	0	40	74	1172	1189	U4b1b1a	0	494	44297	0	0	0
3097230_23193_0_0	14	1	0	0	0	0	0	0	1	1	0	0	15	0	0	0	0	0	0	0	0	0	15	0	77	92	1384	1399	H13a2a	0	558	39400	0	0	0
